filepath,width,height,bboxes
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000243.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 505, 'x2': 916, 'y1': 258, 'y2': 885}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005058.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 890, 'x2': 1453, 'y1': 326, 'y2': 893}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004772.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 736, 'x2': 1287, 'y1': 177, 'y2': 826}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006356.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 726, 'x2': 1270, 'y1': 199, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009140.jpg,1600,1200,"[{'class': 'Truck', 'x1': 770, 'x2': 1600, 'y1': 1, 'y2': 1082}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005438.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 605, 'x2': 1149, 'y1': 167, 'y2': 662}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003830.jpg,1600,1200,"[{'class': 'SUV', 'x1': 764, 'x2': 1409, 'y1': 152, 'y2': 912}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007173.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 685, 'x2': 1274, 'y1': 241, 'y2': 837}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007442.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 569, 'x2': 1101, 'y1': 156, 'y2': 664}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005712.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 681, 'x2': 1155, 'y1': 74, 'y2': 553}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004088.jpg,1600,1200,"[{'class': 'SUV', 'x1': 624, 'x2': 1145, 'y1': 32, 'y2': 576}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009211.jpg,1600,1200,"[{'class': 'Truck', 'x1': 618, 'x2': 1518, 'y1': 1, 'y2': 709}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002606.jpg,1600,1200,"[{'class': 'Bus', 'x1': 507, 'x2': 1485, 'y1': 27, 'y2': 935}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000957.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 534, 'x2': 814, 'y1': 179, 'y2': 480}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005240.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 659, 'x2': 1203, 'y1': 273, 'y2': 845}, {'class': 'Sedan', 'x1': 644, 'x2': 1211, 'y1': 273, 'y2': 845}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004508.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 1067, 'x2': 1600, 'y1': 249, 'y2': 992}]"
